Pricing Opt,1,2,1.25,0.4,-0,-0,,144783,24161.2,0,120622,60940,19579,41361,48.7527,276.128,585.462,,2.32803,224353,123376,60941,45535,0.863029,7.37735,7.54452,4.86874,6.6302,0.00656947,0.00421583,4.42
Pricing Opt,1,2,1.25,0.6,-0,-0,,157770,25352.6,0,132417,64946,19058,45888,51.9576,289.744,623.578,,2.34083,224689,123378,64948,42543,0.871239,7.10976,7.61656,4.87547,6.65657,0.0291715,0.0211289,4.77711
Pricing Opt,1,2,1.25,0.8,-0,-0,,168939,24120.3,0,144818,60117,18111,42005,48.0939,275.661,580.531,,2.33085,224447,123365,60118,46141,0.861346,7.219,7.64007,4.84325,6.61184,0.00774093,0.00435204,4.41833
Pricing Opt,1,4,0.5,0.4,-0,-0,,97605.9,15442.4,0,82163.5,34646,9608,25037,69.2933,441.214,804.593,,2.44188,201306,123372,34648,64608,0.804528,8.20805,8.12754,4.80555,6.51165,0.229791,0.107057,5.05086
Pricing Opt,1,4,0.5,0.6,-0,-0,,111306,15704.3,0,95601.5,40799,6056,34743,81.5997,448.696,845.765,,2.45699,200355,123380,40801,59832,0.815637,8.01644,7.98175,4.86018,6.57776,0.453195,0.221027,5.01578
Pricing Opt,1,4,0.5,0.8,-0,-0,,123598,15558,0,108040,40450,5508,34942,80.9011,444.515,833.346,,2.3549,198998,123379,40451,60295,0.816564,7.86943,7.96009,4.86917,6.60272,0.360242,0.166489,5.02973
Pricing Opt,1,4,0.75,0.4,-0,-0,,121391,19598.7,0,101792,45526,15512,30013,60.7024,373.31,748.648,,2.84533,207379,123374,45527,55608,0.819756,7.61965,7.98357,4.78235,6.50673,0.111302,0.0374778,4.85686
Pricing Opt,1,4,0.75,0.6,-0,-0,,132662,20335.4,0,112327,49632,11050,38581,66.1765,387.342,770.978,,2.84923,206946,123361,49633,52674,0.829342,7.76249,7.96958,4.75189,6.46293,0.0915087,0.0307065,4.81051
Pricing Opt,1,4,0.75,0.8,-0,-0,,144276,19868.1,0,124408,51519,7360,44158,68.6932,378.442,756.313,,2.61595,203784,123371,51521,51588,0.835762,7.86926,7.7411,4.83588,6.59947,0.135568,0.0544449,5.02211
Pricing Opt,1,1,0.75,0.4,-0,-0,,129913,20524.3,0,109389,48126,15390,32736,64.1685,390.94,788.534,,2.32425,233755,123375,48127,55213,0.837613,7.68526,7.75509,4.82223,6.5548,0.0331896,0.0255128,4.8996
